Tweet,Sentiment
[Job] Internship in The Netherlands | Company: Stantec | Location: Arnhem GE  Netherlands | #Arnhem #Environmental… https://t.co/E9O419Y4HR,Negative
RT @wcwwa: Thank you to our WCW18 sponsors who are instrumental in making sure that the #water industry continually moves forward. See you…,Negative
Thank you to our WCW18 sponsors who are instrumental in making sure that the #water industry continually moves forw… https://t.co/nfXJAjZliW,Negative
"Global Interior Design Market 2018 Share and Outlook: Callison, Jacobs, IA Interior Architects .. -… https://t.co/GbbIfxiDOt",Negative
RT @skyrisecities: Stantec Tower changes the face of #Edmonton and cements the @IceDistrict as its new downtown: https://t.co/IEXMuu3V9Y  #…,Negative
I love when my/our customers are successful. Great work! @CNplus @Stantec @autodesk https://t.co/eKzgTFaNRC,Negative
#yeg made it home but here comes the rain and I cannot see downtown...not even the StanTec building! https://t.co/K9sU4JWNJQ,Negative
Analysts See $0.55 EPS for Stantec Inc. $STN https://t.co/C28EMz1IQd,Negative
Stantec Inc. $STN Analysts See $0.55 EPS - https://t.co/DqZg9BwJXu,Negative
Stantec Inc. $STN EPS Estimated At $0.55 - https://t.co/M76BtwQVdY,Negative
Stantec Inc. $STN Analysts See $0.55 EPS https://t.co/xaBTgBgrsz,Negative
RT @skyrisecities: Stantec Tower changes the face of #Edmonton and cements the @IceDistrict as its new downtown: https://t.co/IEXMuu3V9Y  #…,Negative
EPS for Stantec Inc. $STN Expected At $0.43 - https://t.co/yGsCiPKg8P,Postivite
EPS for Stantec Inc. $STN Expected At $0.43 - https://t.co/8UAD24v79C,Postivite
Analysts See $0.43 EPS for Stantec Inc. $STN https://t.co/cF6Ny50uUq,Negative
Stantec Tower changes the face of #Edmonton and cements the @IceDistrict as its new downtown:… https://t.co/HTDJcJoWq9,Negative
"RT @Stantec: Thanks @EuropeanUnion for the great talk you gave to our #Dutch YPG team, better explaining the #internationaldevelopment work…",Negative
